Bulbassauro,2022-06-30 06:20:11.9,50.9
Charmander,2022-06-30 06:20:12.884,78.4
Bulbassauro,2022-06-30 06:20:12.884,51
Charmander,2022-06-30 06:20:13.884,78.6
Bulbassauro,2022-06-30 06:20:13.884,51.1
Charmander,2022-06-30 06:20:16.884,78.7
Bulbassauro,2022-06-30 06:20:16.884,51.2
Charmander,2022-06-30 06:20:17.884,78.8
Bulbassauro,2022-06-30 06:20:18.884,51.3
Charmander,2022-06-30 06:20:19.884,78.9
Charmander,2022-06-30 06:20:20.9,79.3
Bulbassauro,2022-06-30 06:20:20.9,51.5
Charmander,2022-06-30 06:20:21.884,79.4
Bulbassauro,2022-06-30 06:20:21.884,51.7
Charmander,2022-06-30 06:20:22.884,79.6
Bulbassauro,2022-06-30 06:20:22.884,51.8
Charmander,2022-06-30 06:20:23.884,79.8
Bulbassauro,2022-06-30 06:20:23.884,52
Charmander,2022-06-30 06:20:24.884,81
Bulbassauro,2022-06-30 06:20:24.884,52.7
Charmander,2022-06-30 06:20:25.884,81.4
Bulbassauro,2022-06-30 06:20:25.884,53.1
Charmander,2022-06-30 06:20:26.884,81.5
Bulbassauro,2022-06-30 06:20:26.884,53
Charmander,2022-06-30 06:20:27.885,81.7
Bulbassauro,2022-06-30 06:20:27.885,53.2
Charmander,2022-06-30 06:20:28.901,81.8
Bulbassauro,2022-06-30 06:20:28.901,53.3
Charmander,2022-06-30 06:20:29.885,82.3
Bulbassauro,2022-06-30 06:20:29.885,53.5
Charmander,2022-06-30 06:20:30.885,83.5
Bulbassauro,2022-06-30 06:20:30.885,54.3
Charmander,2022-06-30 06:20:31.885,83.8
Bulbassauro,2022-06-30 06:20:31.885,54.5
Charmander,2022-06-30 06:20:32.892,83.9
Bulbassauro,2022-06-30 06:20:32.892,54.6
Charmander,2022-06-30 06:20:33.892,84.1
Bulbassauro,2022-06-30 06:20:33.892,54.7
Charmander,2022-06-30 06:20:34.91,84.2
Bulbassauro,2022-06-30 06:20:34.91,54.8
Charmander,2022-06-30 06:20:35.894,85
Bulbassauro,2022-06-30 06:20:35.894,55.1
Charmander,2022-06-30 06:20:36.894,86.2
Bulbassauro,2022-06-30 06:20:36.894,56
Charmander,2022-06-30 06:20:37.895,86.5
Bulbassauro,2022-06-30 06:20:37.895,56.3
Charmander,2022-06-30 06:20:39.88,86.7
Bulbassauro,2022-06-30 06:20:39.88,56.4
Charmander,2022-06-30 06:20:40.88,86.8
Bulbassauro,2022-06-30 06:20:40.88,56.5
Charmander,2022-06-30 06:20:41.896,87.9
Bulbassauro,2022-06-30 06:20:41.896,57.1
Charmander,2022-06-30 06:20:42.881,89.1
Bulbassauro,2022-06-30 06:20:42.881,58
Charmander,2022-06-30 06:20:43.881,89.3
Bulbassauro,2022-06-30 06:20:43.881,58.1
Bulbassauro,2022-06-30 06:20:44.896,58.2
Charmander,2022-06-30 06:20:45.912,89.4
Charmander,2022-06-30 06:20:46.881,89.6
Bulbassauro,2022-06-30 06:20:46.881,58.3
Charmander,2022-06-30 06:20:47.881,90.8
Bulbassauro,2022-06-30 06:20:47.881,59
Charmander,2022-06-30 06:20:48.881,91.4
Bulbassauro,2022-06-30 06:20:48.881,59.5
Charmander,2022-06-30 06:20:49.881,91.6
Bulbassauro,2022-06-30 06:20:49.881,59.6
Squirtle,2022-06-30 06:20:50.884,106641
Charmander,2022-06-30 06:20:50.884,91.7
Bulbassauro,2022-06-30 06:20:50.884,59.7
Charmander,2022-06-30 06:20:51.884,91.6
Bulbassauro,2022-06-30 06:20:51.884,59.8
Charmander,2022-06-30 06:20:52.9,92
Bulbassauro,2022-06-30 06:20:52.9,60
Charmander,2022-06-30 06:20:53.884,93.5
Bulbassauro,2022-06-30 06:20:53.884,60.9
Charmander,2022-06-30 06:20:54.888,94.1
Bulbassauro,2022-06-30 06:20:54.888,61.4
Charmander,2022-06-30 06:20:55.888,94.2
Charmander,2022-06-30 06:20:56.905,94.3
Bulbassauro,2022-06-30 06:20:56.905,61.5
Charmander,2022-06-30 06:20:58.891,94.9
Bulbassauro,2022-06-30 06:20:58.891,61.8
Charmander,2022-06-30 06:20:59.891,95.6
Bulbassauro,2022-06-30 06:20:59.891,62.3
Charmander,2022-06-30 06:21:00.891,95.9
Bulbassauro,2022-06-30 06:21:00.891,62.5
Charmander,2022-06-30 06:21:01.893,96.2
Bulbassauro,2022-06-30 06:21:01.893,62.7
Charmander,2022-06-30 06:21:02.893,96.4
Bulbassauro,2022-06-30 06:21:02.893,62.8
Charmander,2022-06-30 06:21:03.893,96.6
Bulbassauro,2022-06-30 06:21:03.893,62.9
Charmander,2022-06-30 06:21:04.893,97.6
Bulbassauro,2022-06-30 06:21:04.893,63.5
Charmander,2022-06-30 06:21:05.893,99
Bulbassauro,2022-06-30 06:21:05.893,64.5
Charmander,2022-06-30 06:21:06.893,99.3
Bulbassauro,2022-06-30 06:21:06.893,64.7
Charmander,2022-06-30 06:21:07.896,99.5
Charmander,2022-06-30 06:21:08.896,99.6
Bulbassauro,2022-06-30 06:21:08.896,64.8
Charmander,2022-06-30 06:21:09.88,99.7
Charmander,2022-06-30 06:21:10.881,101.1
Bulbassauro,2022-06-30 06:21:10.881,65.7
Charmander,2022-06-30 06:21:11.912,102.4
Bulbassauro,2022-06-30 06:21:11.912,66.6
Bulbassauro,2022-06-30 06:21:12.881,66.7
Charmander,2022-06-30 06:21:13.881,102.5
Bulbassauro,2022-06-30 06:21:13.881,66.8
Charmander,2022-06-30 06:21:14.881,102.6
Charmander,2022-06-30 06:21:15.881,102.8
Bulbassauro,2022-06-30 06:21:15.881,67
Charmander,2022-06-30 06:21:16.881,104.5
Bulbassauro,2022-06-30 06:21:16.881,68
Charmander,2022-06-30 06:21:17.896,105.4
Bulbassauro,2022-06-30 06:21:17.896,68.6
Charmander,2022-06-30 06:21:18.881,105.5
Charmander,2022-06-30 06:21:19.896,105.4
Charmander,2022-06-30 06:21:20.881,105.3
Bulbassauro,2022-06-30 06:21:20.881,68.5
Charmander,2022-06-30 06:21:21.881,105.5
Bulbassauro,2022-06-30 06:21:21.881,68.6
Charmander,2022-06-30 06:21:22.881,106.7
Bulbassauro,2022-06-30 06:21:22.881,69.3
Charmander,2022-06-30 06:21:23.881,107
Bulbassauro,2022-06-30 06:21:23.881,69.7
Charmander,2022-06-30 06:21:25.912,107.1
Charmander,2022-06-30 06:21:26.896,107.2
Bulbassauro,2022-06-30 06:21:26.896,69.8
Charmander,2022-06-30 06:21:27.881,108.4
Bulbassauro,2022-06-30 06:21:27.881,70.4
Charmander,2022-06-30 06:21:28.881,110.3
Bulbassauro,2022-06-30 06:21:28.881,71.6
Charmander,2022-06-30 06:21:29.881,110.2
Bulbassauro,2022-06-30 06:21:31.881,71.7
Charmander,2022-06-30 06:21:32.881,110.4
Bulbassauro,2022-06-30 06:21:32.881,71.8
Charmander,2022-06-30 06:21:33.881,111.6
Bulbassauro,2022-06-30 06:21:33.881,72.5
Charmander,2022-06-30 06:21:34.881,112.9
Bulbassauro,2022-06-30 06:21:34.881,73.5
Charmander,2022-06-30 06:21:35.881,113.1
Charmander,2022-06-30 06:21:36.881,113.2
Bulbassauro,2022-06-30 06:21:36.881,73.6
Charmander,2022-06-30 06:21:37.881,113.3
Charmander,2022-06-30 06:21:38.881,113.4
Bulbassauro,2022-06-30 06:21:38.881,73.7
Charmander,2022-06-30 06:21:39.896,115
Bulbassauro,2022-06-30 06:21:39.896,74.6
Charmander,2022-06-30 06:21:40.881,116.1
Bulbassauro,2022-06-30 06:21:40.881,75.3
Bulbassauro,2022-06-30 06:21:41.896,75.4
Charmander,2022-06-30 06:21:43.881,116.3
Bulbassauro,2022-06-30 06:21:43.881,75.5
Charmander,2022-06-30 06:21:44.881,116.6
Bulbassauro,2022-06-30 06:21:44.881,75.6
Charmander,2022-06-30 06:21:45.881,118.3
Bulbassauro,2022-06-30 06:21:45.881,76.6
Charmander,2022-06-30 06:21:46.881,119.3
Bulbassauro,2022-06-30 06:21:46.881,77.4
Charmander,2022-06-30 06:21:48.881,119.4
Charmander,2022-06-30 06:21:49.881,119.6
Bulbassauro,2022-06-30 06:21:49.881,77.5
Charmander,2022-06-30 06:21:50.896,120
Bulbassauro,2022-06-30 06:21:50.896,77.8
Charmander,2022-06-30 06:21:51.881,121.9
Bulbassauro,2022-06-30 06:21:51.881,78.9
Charmander,2022-06-30 06:21:52.881,122.5
Bulbassauro,2022-06-30 06:21:52.881,79.6
Bulbassauro,2022-06-30 06:21:53.881,79.5
Charmander,2022-06-30 06:21:55.881,122.4
Charmander,2022-06-30 06:21:56.881,123.2
Bulbassauro,2022-06-30 06:21:56.881,79.9
Charmander,2022-06-30 06:21:57.881,125.1
Bulbassauro,2022-06-30 06:21:57.881,81.2
Pikachu,2022-06-30 06:21:58.365,5.2
Charmander,2022-06-30 06:21:58.881,125.5
Bulbassauro,2022-06-30 06:21:58.881,81.6
Pikachu,2022-06-30 06:21:59.365,5.1
Squirtle,2022-06-30 06:21:59.881,106642
Charmander,2022-06-30 06:21:59.881,125.6
Charmander,2022-06-30 06:22:00.883,125.7
Bulbassauro,2022-06-30 06:22:00.883,81.7
Charmander,2022-06-30 06:22:01.883,125.8
Bulbassauro,2022-06-30 06:22:01.883,81.8
Charmander,2022-06-30 06:22:02.898,127
Bulbassauro,2022-06-30 06:22:02.898,82.5
Pikachu,2022-06-30 06:22:03.351,5.2
Charmander,2022-06-30 06:22:03.898,128.7
Bulbassauro,2022-06-30 06:22:03.898,83.7
Pikachu,2022-06-30 06:22:04.351,5.1
Charmander,2022-06-30 06:22:04.898,129
Bulbassauro,2022-06-30 06:22:04.898,83.9
Charmander,2022-06-30 06:22:05.883,129.1
Bulbassauro,2022-06-30 06:22:05.883,84
Pikachu,2022-06-30 06:22:06.351,5.2
Charmander,2022-06-30 06:22:06.883,129.2
Charmander,2022-06-30 06:22:07.883,129.3
Bulbassauro,2022-06-30 06:22:07.883,84.1
Charmander,2022-06-30 06:22:08.883,131
Bulbassauro,2022-06-30 06:22:08.883,85
Pikachu,2022-06-30 06:22:09.352,5.1
Charmander,2022-06-30 06:22:09.883,132.5
Bulbassauro,2022-06-30 06:22:09.883,86
Pikachu,2022-06-30 06:22:10.352,5.2
Bulbassauro,2022-06-30 06:22:10.899,86.1
Pikachu,2022-06-30 06:22:11.352,5.1
Charmander,2022-06-30 06:22:11.883,132.6
Bulbassauro,2022-06-30 06:22:11.883,86.2
Pikachu,2022-06-30 06:22:12.352,5.2
Pikachu,2022-06-30 06:22:13.352,5.1
Charmander,2022-06-30 06:22:13.883,132.8
Bulbassauro,2022-06-30 06:22:13.883,86.3
Pikachu,2022-06-30 06:22:14.352,5.2
Charmander,2022-06-30 06:22:14.883,134.6
Bulbassauro,2022-06-30 06:22:14.883,87.5
Charmander,2022-06-30 06:22:15.883,136
Bulbassauro,2022-06-30 06:22:15.883,88.4
Pikachu,2022-06-30 06:22:17.352,5.1
Charmander,2022-06-30 06:22:16.883,136.1
Pikachu,2022-06-30 06:22:18.352,5.2
Bulbassauro,2022-06-30 06:22:17.883,88.5
Charmander,2022-06-30 06:22:18.883,136.2
Bulbassauro,2022-06-30 06:22:18.883,88.6
Charmander,2022-06-30 06:22:19.883,136.7
Bulbassauro,2022-06-30 06:22:19.883,88.8
Charmander,2022-06-30 06:22:20.899,138.6
Bulbassauro,2022-06-30 06:22:20.899,90.1
Charmander,2022-06-30 06:22:21.883,139.5
Bulbassauro,2022-06-30 06:22:21.883,90.7
Bulbassauro,2022-06-30 06:22:22.883,90.8
Charmander,2022-06-30 06:22:24.883,139.6
Charmander,2022-06-30 06:22:25.883,140.4
Bulbassauro,2022-06-30 06:22:25.883,91.3
Charmander,2022-06-30 06:22:26.883,142.4
Bulbassauro,2022-06-30 06:22:26.883,92.6
Charmander,2022-06-30 06:22:27.883,143.1
Bulbassauro,2022-06-30 06:22:27.883,93
Charmander,2022-06-30 06:22:28.883,143.3
Bulbassauro,2022-06-30 06:22:28.883,93.2
Charmander,2022-06-30 06:22:29.883,143.4
Charmander,2022-06-30 06:22:30.883,143.5
Charmander,2022-06-30 06:22:31.883,144.7
Bulbassauro,2022-06-30 06:22:31.883,94.1
Pikachu,2022-06-30 06:22:33.352,5.1
Charmander,2022-06-30 06:22:32.899,146.4
Bulbassauro,2022-06-30 06:22:32.899,95.4
Pikachu,2022-06-30 06:22:34.352,5.2
Charmander,2022-06-30 06:22:33.883,146.8
Bulbassauro,2022-06-30 06:22:33.883,95.7
Pikachu,2022-06-30 06:22:35.352,5.1
Charmander,2022-06-30 06:22:34.899,147.1
Bulbassauro,2022-06-30 06:22:34.899,95.9
Pikachu,2022-06-30 06:22:36.352,5.2
Charmander,2022-06-30 06:22:36.888,147.4
Bulbassauro,2022-06-30 06:22:36.888,96.1
Charmander,2022-06-30 06:22:37.888,149.2
